Insumo 1;Insumo 2;Similitud (%)
"TOMACORRIENTE DOBLE UNIVERSAL CON PUESTA A TIERRA, 16 A. 250 V.  PARA USO GENERAL GRADO HOSPITALARIO, EMP. EN TECHO";"TOMACORRIENTE DOBLE UNIVERSAL CON PUESTA A TIERRA, 16 A. 250 V. USO GENERAL GRADO HOSPITALARIO, EMP. EN MURO. H=1.50m";82.88%
"SWITCH PARA RED DE 16 PUERTOS POE";"SWITCH PARA RED DE 48 PUERTOS POE";82.86%
"UNION ELECTRICA PVC SAP Ø 50 MM";"UNION ELECTRICA PVC SAP Ø 80 MM";82.86%
"UNION ELECTRICA PVC SAP Ø 25 MM";"UNION ELECTRICA PVC SAP Ø 80 MM";82.86%
"TUB. PVC SAP P/INST. ELECT. DE 25mm";"TUB. PVC SAP P/INST. ELECT. DE 35mm";82.86%
"UNION ELECTRICA PVC SAP Ø 25 MM";"UNION ELECTRICA PVC SAP Ø 50 MM";82.86%
"UNION ELECTRICA PVC SAP Ø 20 MM";"UNION ELECTRICA PVC SAP Ø 80 MM";82.86%
"UNION ELECTRICA PVC SAP Ø 20 MM";"UNION ELECTRICA PVC SAP Ø 50 MM";82.86%
"CURVA ELECTRICA PVC SAP Ø 20 MM";"CURVA ELECTRICA PVC SAP Ø 50 MM";82.86%
"CURVA ELECTRICA PVC SAP Ø 20 MM";"CURVA ELECTRICA PVC SAP Ø 80 MM";82.86%
"CURVA ELECTRICA PVC SAP Ø 25 MM";"CURVA ELECTRICA PVC SAP Ø 50 MM";82.86%
"SWITCH PARA RED DE 16 PUERTOS POE";"SWITCH PARA RED DE 24 PUERTOS POE";82.86%
"CURVA ELECTRICA PVC SAP Ø 25 MM";"CURVA ELECTRICA PVC SAP Ø 80 MM";82.86%
"CURVA ELECTRICA PVC SAP Ø 50 MM";"CURVA ELECTRICA PVC SAP Ø 80 MM";82.86%
"SWITCH PARA RED DE 24 PUERTOS POE";"SWITCH PARA RED DE 48 PUERTOS POE";82.86%
"PIPETA AUTOMATICA 5 - 50 UL";"PIPETA AUTOMATICA 50 - 200 UL";82.76%
"ELECTRODO PARA SOLDADURA";"ELECTRODO PARA SOLDADURA 7018";82.76%
"ELECTRODO PARA SOLDADURA";"ELECTRODO PARA SOLDADURA 6013";82.76%
"ESTANTERIA DE ACERO INOXIDABLE DE 0I CUERPO 03 DIVISIONES";"ESTANTERIA DE ACERO INOXIDABLE DE O1 CUERPO O5 DIVISIONES";82.76%
"VALVULA CHECK DE BRONCE DE 4"";"VALVULA CHECK DE BRONCE Ø2"";82.76%
"CODO 10" x 90º CLASE150 MI 197 SOLDADO FIERRO MALEABLE";"CODO 4" x 90º CLASE150 MI 197 SOLDADO ROSCADO FIERRO MALEABLE";82.76%
"marco (V-15a)0.40 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-15)0.50 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.76%
"VALVULA CHECK DE BRONCE DE 1"";"VALVULA CHECK DE BRONCE Ø2"";82.76%
"RIEL UNISTRUD 41X21X1.5 MM";"RIEL UNISTRUD 41X41X1.5 MM";82.76%
"ELECTRODO PARA SOLDADURA";"ELECTRODO PARA SOLDADURA 6011";82.76%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 238 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 127 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 215 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 149 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 166 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 257 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 175 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 200 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 276 CFM, 102W, 220/1/60";82.69%
"EEXTRACTOR HELICOCENTRIFUGO 265 CFM, 102W, 220/1/60";"EXTRACTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";82.69%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" x 90º CLASE 150 ASTM A197  - ROSCADO";82.67%
"REGISTRO DE BRONCE DE 2"";"REGISTRO DE BRONCE DE 3"";82.61%
"REGISTRO DE BRONCE DE 2"";"REGISTRO DE BRONCE DE 4"";82.61%
"REGISTRO DE BRONCE DE 3"";"REGISTRO DE BRONCE DE 4"";82.61%
"SUMIDERO DE BRONCE DE 2"";"SUMIDERO DE BRONCE DE 3"";82.61%
"P.A. VIDEO GASTROSCOPIO";"VIDEO GASTROSCOPIO";82.61%
"TEE DE COBRE  ø 2" x 2"";"TEE DE COBRE ø 4"x 2 1/2"";82.61%
"CLAVOS PARA MADERA C/C 3"";"CLAVOS PARA MADERA C/C 4"";82.61%
"CLAVOS PARA MADERA C/C 2"";"CLAVOS PARA MADERA C/C 4"";82.61%
"CLAVOS PARA MADERA C/C 2"";"CLAVOS PARA MADERA C/C 3"";82.61%
"TEE DE COBRE ø 4"x 2 1/2"";"TEE DE COBRE ø 4"x 4"";82.61%
"TENSIOMETRO DIGITAL PEDIÁTRICO NEONATAL";"TENSIOMETRO DIGITAL RODABLE PEDIÁTRICO NEONATAL";82.61%
"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 1 1/2"";"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 3/4"";82.61%
"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 1/2"";"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 3/4"";82.61%
"TEE SCH - 40 1" ROSCADO";"TEE SCH - 40 2" ROSCADO";82.61%
"REDUCCION SCH - 40 3" - 2"";"REDUCCION SCH - 40 6" - 3"";82.61%
"REDUCCION SCH - 40 2 1/2" - 2"";"REDUCCION SCH - 40 3" - 2"";82.61%
"SUMIDERO DE BRONCE DE 3"";"SUMIDERO DE BRONCE DE 4"";82.61%
"SUMIDERO DE BRONCE DE 2"";"SUMIDERO DE BRONCE DE 4"";82.61%
"VENTANA (V-2)1.20 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"ventana (V-6)0.80 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.54%
"CONECTOR PVC SAP P/INST. ELECT. DE 100MM";"CONECTOR PVC SAP P/INST. ELECT. DE 80MM";82.50%
"CONECTOR PVC SAP P/INST. ELECT. DE 100MM";"CONECTOR PVC SAP P/INST. ELECT. DE 50MM";82.50%
"CONECTOR PVC SAP P/INST. ELECT. DE 100MM";"CONECTOR PVC SAP P/INST. ELECT. DE 20MM";82.50%
"EXTRACTOR CENTRIFUGO DE AIRE 1074 CFM";"EXTRACTOR CENTRIFUGO DE AIRE 874 CFM";82.50%
"CONECTOR PVC SAP P/INST. ELECT. DE 100MM";"CONECTOR PVC SAP P/INST. ELECT. DE 40MM";82.50%
"(V-11)1.09 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-9)2.00 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.46%
"(V-13)0.80 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-9)2.00 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.46%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" x 90º CLASE 150 ASTM A197 - ROSCADO";82.43%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" x 90º CLASE 150 ASTM A197 - ROSCADO";82.43%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";82.43%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";82.43%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";82.43%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";82.43%
"VALVULA COMPUERTA DE BRONCE 4"";"VALVULA DE COMPUERTA DE BRONCE ø 2"";82.35%
"ACOPLE SCH - 40 2"";"ACOPLE SCH - 40 4"";82.35%
"VALVULA COMPUERTA DE BRONCE DE 2 1/2"";"VALVULA COMPUERTA DE BRONCE DE 3"";82.35%
"VALVULA COMPUERTA DE BRONCE DE 2 1/2"";"VALVULA DE COMPUERTA BRONCE DE 6"";82.35%
"VALVULA DE COMPUERTA BRONCE DE 6"";"VALVULA DE COMPUERTA DE BRONCE ø 2"";82.35%
"VALVULA COMPUERTA DE BRONCE DE 3"";"VALVULA DE COMPUERTA DE BRONCE ø 2"";82.35%
"JUNTA DE EXPANSION SISMICA DE 1 1/2"";"JUNTA DE EXPANSIÓN SISMICA DE 2 1/2"";82.35%
"JUNTA DE EXPANSION SISMICA DE 1 1/2"";"JUNTA DE EXPANSIÓN SISMICA DE 1/2"";82.35%
"ACOPLE SCH - 40 3"";"ACOPLE SCH - 40 4"";82.35%
"CAJA F°G° PESADA DE 100X100X50 MM";"CAJA F°G° PESADA DE 100X100X75 MM";82.35%
"VALVULA COMPUERTA DE BRONCE 1/2"";"VALVULA COMPUERTA DE BRONCE DE 3"";82.35%
"VALVULA COMPUERTA DE BRONCE 1/2"";"VALVULA DE COMPUERTA BRONCE DE 6"";82.35%
"VALVULA COMPUERTA DE BRONCE 3/4"";"VALVULA DE COMPUERTA BRONCE DE 6"";82.35%
"VALVULA COMPUERTA DE BRONCE 4"";"VALVULA COMPUERTA DE BRONCE DE 2 1/2"";82.35%
"VALVULA COMPUERTA DE BRONCE 1/2"";"VALVULA COMPUERTA DE BRONCE 4"";82.35%
"VALVULA COMPUERTA DE BRONCE 1"";"VALVULA DE COMPUERTA DE BRONCE ø 2"";82.35%
"SOPORTE METALICO P/TUBERIA EN PISO INC. ACCESORIOS DE FIJACION";"SOPORTE METALICO P/TUBERIAS EN PARED INC. ACCESORIOS DE FIJACION";82.35%
"VALVULA COMPUERTA DE BRONCE 1"";"VALVULA COMPUERTA DE BRONCE 3/4"";82.35%
"ABRAZADERA DE 1" CON DOS OREJAS";"ABRAZADERA DE 3/4" CON DOS OREJAS";82.35%
"VALVULA COMPUERTA DE BRONCE 1 1/2"";"VALVULA DE COMPUERTA BRONCE DE 6"";82.35%
"VALVULA COMPUERTA DE BRONCE 1 1/2"";"VALVULA COMPUERTA DE BRONCE DE 3"";82.35%
"VALVULA COMPUERTA DE BRONCE 1 1/2"";"VALVULA COMPUERTA DE BRONCE 4"";82.35%
"ACOPLE SCH - 40 4"";"ACOPLE SCH - 40 6"";82.35%
"ACOPLE SCH - 40 1"";"ACOPLE SCH - 40 4"";82.35%
"SET INSTRUMENTAL DE CIRUGIA DENTAL";"SET INSTRUMENTAL DE CIRUGIA MENOR";82.35%
"CONCRETO PREMEZCLADO C/CEMENTO TIPO IP f'c=280 kg/cm2";"CONCRETO PREMEZCLADO C/CMENTO TIPO IP f'c=210 kg/cm2";82.35%
"VÁLVULA DE BOLA DE TRES PIEZAS DE 1 1/2"";"VALVULA DE BOLA DE TRES PIEZAS DE 1/2"";82.35%
"COMPACTADOR VIBRO APISONADOR TIPO CANGURO";"COMPACTADOR VIBRO APISONADOR TIPO CANGURO (Servida)";82.22%
"ADAPTADOR PARA SOLDAR DE COBRE HEMBRA 1/2"";"ADAPTADOR PARA SOLDAR DE COBRE HEMBRA 3/4"";82.22%
"CONECTOR SPLIT BOLD DE CU PARA CABLE DE 25mm2";"CONECTOR SPLIT BOLD DE CU PARA CABLE DE 50mm2";82.22%
"TOMACORRIENTE DOBLE UNIVERSAL CON PUESTA A TIERRA, 16 A. 250 V.  PARA USO GENERAL GRADO HOSPITALARIO, EMP. EN TECHO";"TOMACORRIENTE DOBLE UNIVERSAL CON PUESTA A TIERRA, 16 A. 250 V. USO GENERAL GRADO HOSPITALARIO, EMP. EN MURO. H=0.90m";82.14%
"MAMPARA VENTANAS CORREDIZAS MARCOS DE ALUMINIO VIDRIO TEMPLADO 10mm (M-3) 5.63x3.00m.";"MAMPARA VENTANAS CORREDIZAS MARCOS DE ALUMINIO VIDRIO TEMPLADO 10mm (M-7) 2.02x3.00m.";82.14%
"BORNE DE TIERRA BIMETALICO";"BORNE DE TIERRA METALICO";82.14%
"marco (V-17)1.10 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-11)1.09 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.14%
"marco (V-17)1.10 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-13)0.80 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.14%
"marco (V-19)5.50 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-12)1.00 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.14%
"(V-12)1.00 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-9)2.00 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";82.14%
"INYECTOR CENTRIFUGO DE AIRE 1387 CFM";"INYECTOR CENTRIFUGO DE AIRE 987 CFM";82.05%
"P.A. EQUIPO DE RAYOS X RODABLE DIGITAL";"EQUIPO DE RAYOS X DENTAL RODABLE DIGITAL";82.05%
"INYECTOR CENTRIFUGO DE AIRE 1165 CFM";"INYECTOR CENTRIFUGO DE AIRE 465 CFM";82.05%
"TUBO DE ACERO NEGRO ASTM A 500 DE 50 X 50 X 2.5MM";"TUBO DE ACERO NEGRO ASTM A 500 DE 50 X 50 X 3MM";82.05%
"P.A. EQUIPO DE RAYOS X DENTAL RODABLE DIGITAL";"EQUIPO DE RAYOS X RODABLE DIGITAL";82.05%
"PLACA DE ALUMINIO ANONIZADO 1 HUECO";"PLACA DE ALUMINIO ANONIZADO 3 HUECOS";82.05%
"PLACA DE ALUMINIO ANONIZADO 1 HUECO";"PLACA DE ALUMINIO ANONIZADO 2 HUECOS";82.05%
"Interruptor Doble Tipo Palanca Balancin Grado Hospitalario";"Interruptor simple Tipo Palanca Balancin Grado Hospitalario";81.97%
"Luminaria  de luminaria downlight tipo Led 28 W para emptrar IP 20, IK2.";"Luminaria downlight tipo Led 20.5 W para empotrar IP 20, IK2";81.97%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1" x 90º CLASE 150 ASTM A197 - ROSCADO";81.94%
"UNION DE COBRE PARA SOLDAR 2 1/2";"UNION DE COBRE PARA SOLDAR 3"";81.82%
"UNION DE COBRE PARA SOLDAR 1/2"";"UNION DE COBRE PARA SOLDAR 4"";81.82%
"VALVULA ESFERICA DE BRONCE DE 1/2"";"VALVULA ESFERICA DE BRONCE DE 3"";81.82%
"VALVULA ESFERICA DE BRONCE DE 1 1/2";"VALVULA ESFERICA DE BRONCE DE 4"";81.82%
"VALVULA ESFERICA DE BRONCE DE 2"";"VALVULA ESFERICA DE BRONCE DE 3/4"";81.82%
"VALVULA ESFERICA DE BRONCE DE 1 1/4"";"VALVULA ESFERICA DE BRONCE DE 3"";81.82%
"VALVULA ESFERICA DE BRONCE DE 2 1/2"";"VALVULA ESFERICA DE BRONCE DE 4"";81.82%
"CUMBRERA INFERIOR DE 0.70mx0.35 m, PARA TEJA ANDINA";"CUMBRERA SUPERIOR DE 0.70mx0.35 m, PARA TEJA ANDINA";81.82%
"VALVULA ESFERICA DE BRONCE DE 1"";"VALVULA ESFERICA DE BRONCE DE 3/4"";81.82%
"VALVULA ESFERICA DE BRONCE DE 2 1/2"";"VALVULA ESFERICA DE BRONCE DE 3"";81.82%
"UNION DE COBRE PARA SOLDAR 2"";"UNION DE COBRE PARA SOLDAR 3/4"";81.82%
"UNION DE COBRE PARA SOLDAR 2 1/2";"UNION DE COBRE PARA SOLDAR 4"";81.82%
"UNION DE COBRE PARA SOLDAR 1"";"UNION DE COBRE PARA SOLDAR 3/4"";81.82%
"UNION DE COBRE PARA SOLDAR 1 1/4"";"UNION DE COBRE PARA SOLDAR 3"";81.82%
"UNION DE COBRE PARA SOLDAR 1 1/4"";"UNION DE COBRE PARA SOLDAR 2"";81.82%
"P.A. ECÓGRAFO DOPPLER COLOR 3D";"P.A. ECÓGRAFO DOPPLER COLOR 4D";81.82%
"(V-1)1.50 X 1.80 m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-13)0.80 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";81.82%
"UNION DE COBRE PARA SOLDAR 1 1/2"";"UNION DE COBRE PARA SOLDAR 4"";81.82%
"UNION DE COBRE PARA SOLDAR 1 1/2"";"UNION DE COBRE PARA SOLDAR 3"";81.82%
"TUBO DE COBRE TIPO L Ø 2" x 6M";"TUBO DE COBRE TIPO L Ø 3/4" x 6M";81.82%
"VALVULA DE BOLA DE TRES PIEZAS DE 2"";"VALVULA DE BOLA DE TRES PIEZAS DE 3/4"";81.82%
"TUBO DE COBRE TIPO L Ø 1" x 6M";"TUBO DE COBRE TIPO L Ø 3/4" x 6M";81.82%
"P.A. VIDEO COLPOSCOPIO";"VIDEO COLPOSCOPIO";81.82%
"TUBO DE COBRE TIPO L Ø 1 1/4" x 6M";"TUBO DE COBRE TIPO L Ø 2" x 6M";81.82%
"TUBO DE COBRE TIPO L Ø  4" x 6M";"TUBO DE COBRE TIPO L Ø 1/2" x 6M";81.82%
"SILLON METALICO SEMICONFORTABLE SIN PORTABRAZOS 2 CUERPOS";"SILLÓN METALICO SEMICONFORTABLE SIN PORTABRAZOS 3 CUERPOS";81.82%
"TEE PVC SAL - PESADA 2"";"TEE PVC SAL - PESADA 4"";81.82%
"TUBO DE COBRE TIPO L Ø  4" x 6M";"TUBO DE COBRE TIPO L Ø 1 1/2" x 6M";81.82%
"TUBO DE COBRE TIPO L Ø  3" x 6M";"TUBO DE COBRE TIPO L Ø 1/2" x 6M";81.82%
"TUBO DE COBRE TIPO L Ø  3" x 6M";"TUBO DE COBRE TIPO L Ø 1 1/4" x 6M";81.82%
"TUBO DE COBRE TIPO L Ø  3" x 6M";"TUBO DE COBRE TIPO L Ø 1 1/2" x 6M";81.82%
"TUBO DE COBRE TIPO L Ø  2 1/2" x 6M";"TUBO DE COBRE TIPO L Ø  4" x 6M";81.82%
"TUBO DE COBRE TIPO L Ø  2 1/2" x 6M";"TUBO DE COBRE TIPO L Ø  3" x 6M";81.82%
"Puerta de fierro PF-03 (1.20X3.00M) incluye accesorios y pintura";"Puerta de fierro PF-06 (2.40X3.00M) incluye accesorios y pintura";81.82%
"TEE DE COBRE Ø 3"X3"";"TEE DE COBRE Ø 4"X3"";81.82%
"VALVULA ESFERICA DE BRONCE DE 1 1/2";"VALVULA ESFERICA DE BRONCE DE 3"";81.82%
"CODO DE COBRE SOLDABLE  1 1/2" x 90°";"CODO DE COBRE SOLDABLE 1 1/2" x 45°";81.82%
"CODO DE COBRE SOLDABLE  1 1/2" x 90°";"CODO DE COBRE SOLDABLE 1/2" X 45°";81.82%
"REJILLAS DE INYECCION CON DAMPER CORTAFUERGO 1200*800MM";"REJILLAS DE INYECCION CON DAMPER CORTAFUERGO REJILLAS DE INYECCION CON DAMPER CORTAFUERGO 600*600MM";81.82%
"CODO DE COBRE SOLDABLE  1/2" x 90°";"CODO DE COBRE SOLDABLE 1 1/2" x 45°";81.82%
"VALVULA ESFERICA DE BRONCE DE 1/2"";"VALVULA ESFERICA DE BRONCE DE 4"";81.82%
"JUNTA DE EXPANSION SISMICA DE 1 1/2"";"JUNTA DE EXPANSION SISMICA DE 3"";81.82%
"JUNTA DE EXPANSION SISMICA DE 1 1/2"";"JUNTA DE EXPANSION SISMICA DE 4"";81.82%
"CODO DE COBRE SOLDABLE  1/2" x 90°";"CODO DE COBRE SOLDABLE 1/2" X 45°";81.82%
"JUNTA DE EXPANSION SISMICA DE 1 1/4"";"JUNTA DE EXPANSION SISMICA DE 3"";81.82%
"NIPLE DE F° GALV. DE 1"";"NIPLE DE F° GALV. DE 2" X 2 1/2"";81.82%
"CODO SCH - 40 3" x 90º";"CODO SCH - 40 6" x 90º";81.82%
"REDUCCION SCH - 40 4" - 2"";"REDUCCION SCH - 40 4" - 3"";81.82%
"REDUCCION SCH - 40 4" - 2"";"REDUCCION SCH - 40 6" - 4"";81.82%
"CODO DE COBRE SOLDABLE  2 1/2" x 90°";"CODO DE COBRE SOLDABLE 1 1/2" x 45°";81.82%
"REDUCCION SCH - 40 4" - 3"";"REDUCCION SCH - 40 6" - 4"";81.82%
"CODO DE COBRE SOLDABLE  2 1/2" x 90°";"CODO DE COBRE SOLDABLE 1/2" X 45°";81.82%
"VALVULA DE BOLA DE TRES PIEZAS DE 1"";"VALVULA DE BOLA DE TRES PIEZAS DE 3/4"";81.82%
"VALVULA ESFERICA DE BRONCE DE 1 1/4"";"VALVULA ESFERICA DE BRONCE DE 2"";81.82%
"VALVULA DE BOLA DE TRES PIEZAS DE 1 1/4"";"VALVULA DE BOLA DE TRES PIEZAS DE 2"";81.82%
"Ventanas de fierro con malla metalica cocada 1"x1" (VF-01) 4.45x1.60m.  incluye accesorios y pintura";"Ventanas de fierro con malla metalica cocada 1"x1" (VF-02) 2.40x1.00m.  incluye accesorios y pintura";81.82%
"CONTENEDOR RODABLE PARA RESIDUOS SOLIDOS (178L Aprox.)";"CONTENEDOR RODABLE PARA RESIDUOS SOLIDOS (240L Aprox.)";81.82%
"UNION DE COBRE PARA SOLDAR 1/2"";"UNION DE COBRE PARA SOLDAR 3"";81.82%
"TEE DE COBRE SOLDABLE 1 1/4" X 90°";"TEE DE COBRE SOLDABLE 2" X 90°";81.82%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 16.32 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 23.29 LB/H";81.67%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 17.99 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 23.29 LB/H";81.67%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 15.61 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 23.29 LB/H";81.67%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 23.29 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 39.69 LB/H";81.67%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 14.40 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 23.29 LB/H";81.67%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x160 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A";81.63%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x1000 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x250 A";81.63%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x150 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A";81.63%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x120 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A";81.63%
"Ventanas de fierro con malla metalica cocada 1"x1" (VF-01) 4.45x1.60m.  incluye accesorios y pintura";"Ventanas de fierro con malla metalica cocada 1"x1" (VF-03)1.83x1.00m. incluye accesorios y pintura";81.63%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x140 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A";81.63%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x180 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A";81.63%
"VALVULA ESFERICA DE BRONCE DE 1 1/2";"VALVULA ESFERICA DE BRONCE PESADA 1/2"";81.58%
"VALVULA ESFERICA DE BRONCE DE 2 1/2"";"VALVULA ESFERICA DE BRONCE PESADA 1/2"";81.58%
"VALVULA ESFERICA DE BRONCE DE 1/2"";"VALVULA ESFERICA DE BRONCE PESADA 1/2"";81.58%
"Puerta de fierro PF-05 (1.80X3.00M) incluye accesorios y pintura";"Puerta de fierro PF-10 (1.00x2.05)  incluye accesorios y pintura";81.54%
"TEE MECANICA SCH - 40 3" - 1"";"TEE MECANICA SCH - 40 6" - 1 1/4"";81.48%
"TEE MECANICA SCH - 40 3" - 1 1/2"";"TEE MECANICA SCH - 40 4" - 1 1/4"";81.48%
"TEE MECANICA SCH - 40 3" - 1 1/2"";"TEE MECANICA SCH - 40 4" - 1"";81.48%
"TEE MECANICA SCH - 40 3" - 1"";"TEE MECANICA SCH - 40 4" - 1 1/2"";81.48%
"(V-1')1.05 X 1.80m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-1)1.50 X 1.80 m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";81.48%
"TEE MECANICA SCH - 40 2 1/2" - 1"";"TEE MECANICA SCH - 40 3 - 1 1/4"";81.48%
"TABLERO DE CONTROL DE GASES MEDICINALES PARA SISTEMAS DE OXIGENO Y VACIO.";"TABLERO DE CONTROL DE GASES MEDICINALES PARA SISTEMAS DE OXIGENO, VACIO Y AIRE COMPRIMIDO MEDICINAL.";81.48%
"TEE MECANICA SCH - 40 2 1/2" - 1"";"TEE MECANICA SCH - 40 6" - 1 1/4"";81.48%
"TEE MECANICA SCH - 40 2 1/2" - 1 1/4"";"TEE MECANICA SCH - 40 3" - 1"";81.48%
"TEE MECANICA SCH - 40 2 1/2" - 1 1/2"";"TEE MECANICA SCH - 40 6" - 1 1/4"";81.48%
"TEE MECANICA SCH - 40 2 1/2" - 1 1/2"";"TEE MECANICA SCH - 40 3 - 1 1/4"";81.48%
