Insumo 1;Insumo 2;Similitud (%)
"TUBO DE FIERRO GALVANIZADO DE 1" x 2.5mm";"TUBO DE FIERRO GALVANIZADO DE 1/2" x 2.5mm";100.00%
"UNION DE COBRE PARA SOLDAR 1 1/2"";"UNION DE COBRE PARA SOLDAR 1/2"";100.00%
"UNION DE COBRE PARA SOLDAR 1 1/2"";"UNION DE COBRE PARA SOLDAR 2 1/2";100.00%
"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" CLASE 150 ASTM A197";100.00%
"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197";100.00%
"UNION DE COBRE PARA SOLDAR 1/2"";"UNION DE COBRE PARA SOLDAR 2 1/2";100.00%
"UNION FLEXIBLE ø 1/2"";"UNION FLEXIBLE Ø 2 1/2"";100.00%
"UNION SIMPLE DE COBRE DE 1 1/2"";"UNION SIMPLE DE COBRE DE 1/2"";100.00%
"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1/2", 1M";"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 2", 1M";97.96%
"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1 1/2", 1M";"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 2", 1M";97.96%
"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1 1/4" X 6 m";"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1" X 6 m";97.92%
"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 3" X 6 m";"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 3/4" X 6 m";97.92%
"REDUCCIÓN EXCENTRICA CAMPANA DE  FIERRO MALEABLE GALVANIZADO DE 1" X 3/4" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN EXCENTRICA CAMPANA DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO";97.83%
"UPS Trifasico 380/220 V, 2 KVA , 2 Baterias internas";"UPS Trifasico 380/220 V,20 KVA , 2 Baterias internas";97.83%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x1000 A";97.78%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1" X 3/4" CLASE 150 ASTM A197 - ROSCADO";97.56%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1" X 3/4" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 3/4" X 1/2" CLASE 150 ASTM A197 - ROSCADO";97.56%
"BOQUILLA DE DESCARGA SISTEMA FM-200 DE 1 1/2"";"BOQUILLA DE DESCARGA SISTEMA FM-200 DE 1"";97.30%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3" x 90º CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" x 90º CLASE 150 ASTM A197  - ROSCADO";97.18%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1" x 90º CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";97.14%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1" x 90º CLASE 150 ASTM A197 - ROSCADO";97.14%
"ANALIZADOR AUTOMATIZADO PARA INMUNOBIOQUIMICA DE ELECTROQUIMIOLUMINISCENCIA";"P.A. ANALIZADOR AUTOMATIZADO PARA INMUNOBIOQUIMICA DE ELECTROQUIMIOLUMINISCENCIA";97.14%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1" x 90º CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" x 90º CLASE 150 ASTM A197 - ROSCADO";97.14%
"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA TERMODINAMICA DE 1 1/2"(SEGUN DISEÑO)";"SUMINISTRO E INSTALACION DE PAQUETE DE PURGA TERMODINAMICA DE 1"(SEGUN DISEÑO)";97.14%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/4" x 90º CLASE 150 ASTM A197  - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1" x 90º CLASE 150 ASTM A197 - ROSCADO";97.14%
"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197";97.06%
"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197";97.06%
