Grupo ID;Insumo Original
Grupo 21;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOX. DE Ø 1 1/2""
Grupo 21;"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOX. DE Ø 2 1/2""
Grupo 22;"ADAPTADOR DE COBRE TIPO L 1 1/2""
Grupo 22;"ADAPTADOR DE COBRE TIPO L 1/2""
Grupo 22;"ADAPTADOR DE COBRE TIPO L 1""
Grupo 22;"ADAPTADOR DE COBRE TIPO L 1 1/4""
Grupo 22;"ADAPTADOR DE COBRE TIPO L 3/4""
Grupo 23;"TEE MECANICA SCH - 40 2 1/2" - 1 1/4""
Grupo 23;"TEE MECANICA SCH - 40 4" - 1 1/2""
Grupo 24;"JUNTA DE EXPANSIÓN SISMICA DE 1/2""
Grupo 24;"JUNTA DE EXPANSIÓN SISMICA DE 2 1/2""
Grupo 24;"JUNTA DE EXPANSIÓN SISMICA DE 1""
Grupo 24;"JUNTA DE EXPANSIÓN SISMICA DE 2""
Grupo 25;"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1 1/2" X 6 m"
Grupo 25;"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1/2" X 6 m"
Grupo 25;"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 2 1/2" X 6 m"
Grupo 26;"TEE MECANICA SCH - 40 2 1/2" - 1 1/2""
Grupo 26;"TEE MECANICA SCH - 40 2 1/2" - 1""
Grupo 27;"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1""
Grupo 27;"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1/2""
Grupo 27;"REDUCCION DE COBRE SOLDABLE 1" - 1/2""
Grupo 27;"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/2""
Grupo 27;"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2""
Grupo 27;"REDUCCION DE COBRE SOLDABLE 2" - 1 1/2""
Grupo 27;"REDUCCION DE COBRE SOLDABLE 2" - 1""
Grupo 28;"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO"
Grupo 28;"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO"
Grupo 28;"TEE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" CLASE 150 ASTM A197 - ROSCADO"
Grupo 28;"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197 - ROSCADO"
Grupo 28;"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" CLASE 150 ASTM A197 - ROSCADO"
Grupo 29;"TEE DE COBRE SOLDABLE  1/2""
Grupo 29;"TEE DE COBRE SOLDABLE  2 1/2""
Grupo 30;"TEE  1 1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE"
Grupo 30;"TEE  1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE"
Grupo 30;"TEE  1" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE"
Grupo 31;"UNION UNIVERSAL DE COBRE 1 1/2""
Grupo 31;"UNION UNIVERSAL DE COBRE 1/2""
Grupo 31;"UNION UNIVERSAL DE COBRE 1""
Grupo 31;"UNION UNIVERSAL DE COBRE 2""
Grupo 31;"UNION UNIVERSAL DE COBRE 1 1/4""
Grupo 31;"UNION UNIVERSAL DE COBRE 3/4""
Grupo 32;"ventana (V-10')2.00 X 0.60m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm"
Grupo 32;"VENTANA (V-10)2.00 X 0.60m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm"
Grupo 33;"AISLADORES TERMICOS PARA TUBERIAS DE 1 1/2""
Grupo 33;"AISLADORES TERMICOS PARA TUBERIAS DE 2 1/2""
Grupo 33;"AISLADORES TERMICOS PARA TUBERIAS DE 2""
Grupo 33;"AISLADORES TERMICOS PARA TUBERIAS DE 1""
Grupo 34;"UNION UNIVERSAL DE COBRE TIPO L 1 1/2""
Grupo 34;"UNION UNIVERSAL DE COBRE TIPO L 1/2""
Grupo 35;"ABRAZADERA UNISTRUT DE 1 1/2''"
Grupo 35;"ABRAZADERA UNISTRUT DE 1/2''"
Grupo 35;"ABRAZADERA UNISTRUT DE 2 1/2''"
Grupo 35;"ABRAZADERA UNISTRUT DE 2''"
Grupo 36;"REDUCCION DE COBRE SOLDABLE 1 1/2" - 3/4""
Grupo 36;"REDUCCION DE COBRE SOLDABLE 3/4" - 1/2""
Grupo 36;"REDUCCION DE COBRE SOLDABLE 2" - 3/4""
Grupo 36;"REDUCCION DE COBRE SOLDABLE 3" - 2""
Grupo 36;"REDUCCION DE COBRE SOLDABLE 4" - 3""
Grupo 37;"VALVULA ESFERICA DE BRONCE DE 1/2""
Grupo 37;"VALVULA ESFERICA DE BRONCE DE 2 1/2""
Grupo 37;"VALVULA ESFERICA DE BRONCE DE 1 1/2"
Grupo 37;"VALVULA ESFERICA DE BRONCE DE 2""
Grupo 37;"VALVULA ESFERICA DE BRONCE DE 1""
Grupo 37;"VALVULA ESFERICA DE BRONCE PESADA 1/2""
Grupo 38;"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 1 1/2""
Grupo 38;"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 1/2""
Grupo 38;"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 3/4""
Grupo 39;"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO"
Grupo 39;"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1/2" CLASE 150 ASTM A197 - ROSCADO"
Grupo 40;"REDUCCION DE COBRE SOLDABLE 1 1/4" - 3/4""
Grupo 40;"REDUCCION DE COBRE SOLDABLE 1" - 3/4""
Grupo 41;"VALVULA DE BOLA ESFERICA DE BRONCE 1/2""
Grupo 41;"VALVULA DE BOLA ESFERICA DE BRONCE 2 1/2""
Grupo 41;"VALVULA DE BOLA ESFERICA DE BRONCE 1 1/2""
Grupo 41;"VALVULA DE BOLA ESFERICA DE BRONCE 1""
Grupo 42;"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197"
Grupo 42;"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197"
Grupo 42;"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" CLASE 150 ASTM A197"
Grupo 42;"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1" CLASE 150 ASTM A197"
Grupo 42;"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/4" CLASE 150 ASTM A197"
Grupo 42;"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 3/4" CLASE 150 ASTM A197"
Grupo 43;"CODO DE COBRE SOLDABLE 1 1/2" x 45°"
Grupo 43;"CODO DE COBRE SOLDABLE 1/2" X 45°"
Grupo 43;"CODO DE COBRE SOLDABLE 1" x 45°"
Grupo 44;"REDUCCIÓN DE COBRE TIPO L DE 1 1/2" A 1""
Grupo 44;"REDUCCIÓN DE COBRE TIPO L DE 1" A 1/2""
Grupo 45;"REDUCCION DE COBRE SOLDABLE 3" - 1 1/2""
Grupo 45;"REDUCCION DE COBRE SOLDABLE 3" - 2 1/2""
Grupo 46;"CODO DE COBRE SOLDABLE  1/2" x 90°"
Grupo 46;"CODO DE COBRE SOLDABLE  2 1/2" x 90°"
Grupo 46;"CODO DE COBRE SOLDABLE  1 1/2" x 90°"
Grupo 46;"CODO DE COBRE SOLDABLE  1" x 90°"
Grupo 46;"CODO DE COBRE SOLDABLE  2" x 90°"
